FICE,College name,State,Public/private indicator,Average Math SAT score,Average Verbal SAT score,Average Combined SAT score,Average ACT score,First quartile - Math SAT,Third quartile - Math SAT,First quartile - Verbal SAT,Third quartile - Verbal SAT,First quartile - ACT,Third quartile - ACT,Number of applications received,Number of applicants accepted,Number of new students enrolled,Number of fulltime undergraduates,Number of parttime undergraduates,In-state tuition,Out-of-state tuition,Room and board costs,Room costs,Board costs,Additional fees,Estimated book costs,Estimated personal spending,Student/faculty ratio,Instructional expenditure per student,Graduation rate
1061,Alaska Pacific University,AK,2,490,482,972,20,440,530,430,550,18,22,193,146,55,249,869,7560,7560,4120,1620,2500,130,800,1500,11.9,10922,15
1063,University of Alaska at Fairbanks,AK,1,499,462,961,22,*,*,*,*,*,*,1852,1427,928,3885,4519,1742,5226,3590,1800,1790,155,650,2304,10,11935,*
1065,University of Alaska Southeast,AK,1,*,*,*,*,*,*,*,*,*,*,146,117,89,492,1849,1742,5226,4764,2514,2250,34,500,1162,9.5,9584,39
11462,University of Alaska at Anchorage,AK,1,459,422,881,20,*,*,*,*,*,*,2065,1598,1162,6209,10537,1742,5226,5120,2600,2520,114,580,1260,13.7,8046,*
1002,Alabama Agri. & Mech. Univ.,AL,1,*,*,*,17,*,*,*,*,14,17,2817,1920,984,3958,305,1700,3400,2550,1108,1442,155,500,850,14.3,7043,40
1003,Faulkner University,AL,2,*,*,*,20,*,*,*,*,*,*,345,320,179,1367,578,5600,5600,3250,1550,1700,300,350,*,32.8,3971,55
1004,University of Montevallo,AL,1,*,*,*,21,*,*,*,*,18,23,1351,892,570,2385,331,2220,4440,3030,*,*,124,300,600,18.9,5883,51
1005,Alabama State University,AL,1,*,*,*,*,*,*,*,*,*,*,4639,3272,1278,4051,405,1500,3000,1960,1960,*,84,500,*,18.7,*,15
1009,Auburn University-Main Campus,AL,1,575,501,1076,24,520,638,453,559,21,27,7548,6791,3070,16262,1716,2100,6300,3933,*,*,*,600,1908,16.7,6642,69
1012,Birmingham-Southern College,AL,2,575,525,1100,26,470,680,460,650,23,29,805,588,287,1376,207,11660,11660,4325,2050,2430,120,400,900,14,8649,72
1016,University of North Alabama,AL,1,*,*,*,*,*,*,*,*,*,*,1087,702,625,3772,1034,1704,2970,2536,1336,1200,20,500,*,19.4,4944,76
1019,Huntingdon College,AL,2,513,446,959,23,480,570,400,530,20,24,608,520,127,538,126,8080,8080,3920,1380,2540,100,500,1100,11.4,7703,44
1020,Jacksonville State University,AL,1,*,*,*,20,*,*,*,*,17,22,1627,1413,887,5160,1475,1740,2610,2600,1030,1570,85,570,1500,20.1,4604,33
1023,Judson College,AL,2,*,*,*,22,*,*,*,*,19,24,313,228,137,552,67,5780,5780,3600,*,*,*,*,*,17.9,5159,43
1024,Livingston University,AL,1,*,*,*,19,*,*,*,*,16,21,1206,957,444,1627,132,1740,1740,2449,1162,1287,243,570,2100,18.8,4272,36
1028,Miles College,AL,2,*,*,*,*,*,*,*,*,*,*,686,427,242,746,123,4000,4000,2700,1250,1450,*,600,1000,16.7,4455,15
1029,University of Mobile,AL,2,*,*,*,22,*,*,*,*,*,*,452,331,269,1417,301,6150,6150,3680,*,*,70,550,1200,16.6,5412,52
1033,Oakwood College,AL,2,382,378,760,17,*,*,*,*,*,*,949,605,385,1316,135,6639,6639,3999,*,*,368,600,2500,14.5,7986,*
1036,Samford University,AL,2,*,*,*,*,485,585,445,545,22,28,1680,1395,691,2959,402,8236,8236,3700,3700,*,*,569,1650,14.7,9533,61
1041,Spring Hill College,AL,2,525,480,990,24,480,550,430,520,22,26,773,694,230,942,224,11478,11478,4788,2450,2338,645,500,900,14.4,8594,70
1044,Stillman College,AL,2,*,*,*,*,*,*,*,*,*,*,629,614,248,866,22,4460,4460,2754,1683,1071,100,600,1000,14.3,5031,47
1046,Talladega College,AL,2,*,*,*,*,*,*,*,*,*,*,4414,1500,335,908,119,5666,5666,2964,1424,1540,418,1000,1400,15.5,5970,46
1047,Troy State University at Troy,AL,1,510,470,980,20,350,480,380,550,18,24,1471,1281,824,4343,990,1697,2883,2570,1450,1120,75,300,*,23,4295,48
1050,Tuskegee University,AL,2,*,*,*,*,*,*,*,*,*,*,2267,1827,611,2825,144,6735,6735,3395,3395,*,*,600,1425,12.2,10872,65
1051,University of Alabama at Tuscaloosa,AL,1,*,*,*,23,*,*,*,*,20,25,7593,5972,2682,13780,1599,2172,5424,3530,1600,1930,*,580,1654,17.3,6426,50
1052,University of Alabama at Birmingham,AL,1,*,*,*,21,*,*,*,*,18,24,1797,1260,938,6960,4698,2220,4440,5175,1935,3240,291,750,2200,6.7,16352,33
1055,University of Alabama at Huntsville,AL,1,542,468,1010,24,470,610,390,530,21,26,1376,957,445,2727,3394,2480,4960,3500,2500,1000,*,600,2100,12.7,8863,38
1057,University of South Alabama,AL,1,*,*,*,23,*,*,*,*,19,24,2328,2110,1047,7516,2943,2208,3108,2850,1530,1320,183,480,1470,13.3,8667,43
8310,Auburn University at Montgomery,AL,1,*,*,*,21,*,*,*,*,*,*,985,868,645,3477,1929,1905,5715,4430,1650,2780,*,600,2500,18.1,4792,42
1085,University of Arkansas at Monticello,AR,1,*,*,*,*,*,*,*,*,*,*,826,794,662,4539,357,1536,3552,2310,840,1470,84,500,2800,42.6,2033,*
1086,University of Arkansas at Pine Bluff,AR,1,368,326,694,16,*,*,*,*,*,*,1450,1360,744,2993,1020,1392,3216,2328,2328,*,143,450,*,16.2,4618,*
1088,Arkansas College (Lyon College),AR,2,*,*,*,25,*,*,*,*,22,27,708,334,166,530,182,8644,8644,3922,2382,1540,120,500,800,12.6,14579,54
1089,Arkansas Tech University,AR,1,*,*,*,21,*,*,*,*,18,24,1734,1729,951,3602,939,1730,3460,2650,*,*,60,450,1000,19.6,4739,48
1090,Arkansas State University,AR,1,*,*,*,21,*,*,*,*,18,24,2688,2633,1488,7212,1707,1800,3720,2580,*,*,130,500,*,20,5128,39
1092,University of Central Arkansas,AR,1,*,*,*,22,*,*,*,*,18,25,3131,2703,1792,7402,1119,1700,3274,2600,1440,1160,126,600,1761,20.5,4252,36
1094,University of the Ozarks,AR,2,*,*,*,*,*,*,*,*,17,21,218,215,126,570,59,4800,4800,2850,1650,1200,120,400,2000,12.8,8177,*
1098,Henderson State University,AR,1,*,*,*,*,*,*,*,*,17,22,1490,1490,771,2942,997,1440,2880,2400,2400,*,80,500,*,19,4540,68
1099,Hendrix College,AR,2,564,525,1089,26,490,620,460,580,23,28,823,721,274,954,6,8800,8800,3195,1935,1260,325,500,1200,13.1,8588,63
1100,John Brown University,AR,2,509,484,993,23,450,600,440,600,20,27,605,405,284,961,99,6398,6398,3672,1450,2222,148,400,1350,13.3,8118,75
1101,University of Arkansas at Little Rock,AR,1,*,*,*,19,*,*,*,*,17,22,1766,1322,1194,5753,4058,2136,5352,2435,2435,*,166,800,800,14.7,4724,19
1102,Ouachita Baptist University,AR,2,*,*,*,*,*,*,*,*,21,26,910,773,450,1310,61,6530,6530,2800,2800,*,100,500,1500,13.3,6413,65
1103,Philander Smith College,AR,2,*,*,*,*,*,*,*,*,*,*,350,350,222,701,239,2370,2370,1260,630,630,*,*,*,18.1,*,*
1106,Williams Baptist College,AR,2,*,*,*,19,*,*,*,*,17,22,220,210,131,509,97,3952,3952,2292,*,*,150,400,600,18,4061,*
1107,Southern Arkansas University,AR,1,*,*,*,*,*,*,*,*,*,*,792,792,499,2229,270,1500,2340,2240,*,*,*,400,*,17,4653,33
1108,University of Arkansas at Fayetteville,AR,1,*,*,*,*,*,*,*,*,20,26,3235,3108,2133,9978,1530,1932,5028,3300,3300,*,122,500,2000,14.8,6820,39
10311,Harding University,AR,2,530,490,1020,24,*,*,*,*,20,28,1721,1068,806,3128,213,5504,5504,3528,1650,1878,1016,700,910,17.7,6466,73
1074,Grand Canyon University,AZ,2,485,441,926,22,420,550,380,500,19,24,497,393,169,1364,454,6870,6870,3100,*,*,370,400,1125,14.2,6219,81
1081,Arizona State University Main campus,AZ,1,521,453,974,23,450,590,390,500,20,25,12809,10308,3761,22593,7585,1828,7434,4850,*,*,66,700,2100,18.9,4602,48
1082,Northern Arizona University,AZ,1,495,444,939,22,420,560,380,500,19,24,5891,4931,1973,11249,2682,1828,6746,3728,1890,1838,66,620,2342,21.7,6157,41
1083,University of Arizona,AZ,1,526,462,983,23,450,600,400,520,20,26,14079,12238,4529,21664,4894,1828,7434,4216,2186,2030,66,620,2550,19.6,9683,49
29022,Prescott College,AZ,2,*,*,1000,23,*,*,*,*,*,*,321,227,129,693,40,9800,9800,*,*,*,495,400,3522,2.3,6562,*
1117,Azusa Pacific University,CA,2,474,428,902,21,410,560,380,490,19,24,1080,948,504,2032,122,15500,15500,3700,1900,1800,206,250,750,12.8,9627,*
1122,Biola University,CA,2,500,440,940,22,425,590,400,550,18,26,1118,896,459,2058,111,11388,11388,4546,1984,2562,*,1000,*,16.6,9329,36
1125,California Baptist College,CA,2,441,395,836,19,*,*,*,*,*,*,308,262,157,592,113,6370,6370,3894,1800,2094,370,*,*,13,8554,43
1131,California Institute of Technology,CA,2,750,660,1410,*,740,780,610,700,*,*,1916,507,210,912,*,16695,16695,5051,*,*,210,735,3466,6.5,62469,83
1133,California Lutheran University,CA,2,495,436,931,21,430,560,370,490,19,24,563,247,247,1427,432,12950,12950,5300,5300,*,215,612,576,12.4,8985,60
