displacement,weight,acceleration,cylinders
307,3504,12,8
350,3693,11.5,8
318,3436,11,8
304,3433,12,8
302,3449,10.5,8
429,4341,10,8
454,4354,9,8
440,4312,8.5,8
455,4425,10,8
390,3850,8.5,8
133,3090,17.5,4
350,4142,11.5,8
351,4034,11,8
383,4166,10.5,8
360,3850,11,8
383,3563,10,8
340,3609,8,8
302,3353,8,8
400,3761,9.5,8
455,3086,10,8
113,2372,15,4
198,2833,15.5,6
199,2774,15.5,6
200,2587,16,6
97,2130,14.5,4
97,1835,20.5,4
110,2672,17.5,4
107,2430,14.5,4
104,2375,17.5,4
121,2234,12.5,4
199,2648,15,6
360,4615,14,8
307,4376,15,8
318,4382,13.5,8
304,4732,18.5,8
97,2130,14.5,4
140,2264,15.5,4
113,2228,14,4
98,2046,19,4
97,1978,20,4
232,2634,13,6
225,3439,15.5,6
250,3329,15.5,6
250,3302,15.5,6
232,3288,15.5,6
350,4209,12,8
400,4464,11.5,8
351,4154,13.5,8
318,4096,13,8
383,4955,11.5,8
400,4746,12,8
400,5140,12,8
258,2962,13.5,6
140,2408,19,4
250,3282,15,6
250,3139,14.5,6
122,2220,14,4
116,2123,14,4
79,2074,19.5,4
88,2065,14.5,4
71,1773,19,4
72,1613,18,4
97,1834,19,4
91,1955,20.5,4
113,2278,15.5,4
97.5,2126,17,4
97,2254,23.5,4
140,2408,19.5,4
122,2226,16.5,4
350,4274,12,8
400,4385,12,8
318,4135,13.5,8
351,4129,13,8
304,3672,11.5,8
429,4633,11,8
350,4502,13.5,8
350,4456,13.5,8
400,4422,12.5,8
70,2330,13.5,3
304,3892,12.5,8
307,4098,14,8
302,4294,16,8
318,4077,14,8
121,2933,14.5,4
121,2511,18,4
120,2979,19.5,4
96,2189,18,4
122,2395,16,4
97,2288,17,4
120,2506,14.5,4
98,2164,15,4
97,2100,16.5,4
350,4100,13,8
304,3672,11.5,8
350,3988,13,8
302,4042,14.5,8
318,3777,12.5,8
429,4952,11.5,8
400,4464,12,8
351,4363,13,8
318,4237,14.5,8
440,4735,11,8
455,4951,11,8
360,3821,11,8
225,3121,16.5,6
250,3278,18,6
232,2945,16,6
250,3021,16.5,6
198,2904,16,6
97,1950,21,4
400,4997,14,8
400,4906,12.5,8
360,4654,13,8
350,4499,12.5,8
232,2789,15,6
97,2279,19,4
140,2401,19.5,4
108,2379,16.5,4
70,2124,13.5,3
122,2310,18.5,4
155,2472,14,6
98,2265,15.5,4
350,4082,13,8
400,4278,9.5,8
68,1867,19.5,4
116,2158,15.5,4
114,2582,14,4
121,2868,15.5,4
318,3399,11,8
121,2660,14,4
156,2807,13.5,6
350,3664,11,8
198,3102,16.5,6
200,2875,17,6
232,2901,16,6
250,3336,17,6
79,1950,19,4
122,2451,16.5,4
71,1836,21,4
140,2542,17,4
250,3781,17,6
258,3632,18,6
225,3613,16.5,6
302,4141,14,8
350,4699,14.5,8
318,4457,13.5,8
302,4638,16,8
304,4257,15.5,8
98,2219,16.5,4
79,1963,15.5,4
97,2300,14.5,4
76,1649,16.5,4
83,2003,19,4
90,2125,14.5,4
90,2108,15.5,4
116,2246,14,4
120,2489,15,4
108,2391,15.5,4
79,2000,16,4
225,3264,16,6
250,3459,16,6
250,3432,21,6
250,3158,19.5,6
400,4668,11.5,8
350,4440,14,8
318,4498,14.5,8
351,4657,13.5,8
231,3907,21,6
250,3897,18.5,6
258,3730,19,6
225,3785,19,6
231,3039,15,6
262,3221,13.5,8
302,3169,12,8
97,2171,16,4
140,2639,17,4
232,2914,16,6
140,2592,18.5,4
134,2702,13.5,4
90,2223,16.5,4
119,2545,17,4
171,2984,14.5,6
90,1937,14,4
232,3211,17,6
115,2694,15,4
120,2957,17,4
121,2945,14.5,4
121,2671,13.5,4
91,1795,17.5,4
107,2464,15.5,4
116,2220,16.9,4
140,2572,14.9,4
98,2255,17.7,4
101,2202,15.3,4
305,4215,13,8
318,4190,13,8
304,3962,13.9,8
351,4215,12.8,8
225,3233,15.4,6
250,3353,14.5,6
200,3012,17.6,6
232,3085,17.6,6
85,2035,22.2,4
98,2164,22.1,4
90,1937,14.2,4
91,1795,17.4,4
