hits during his career,home runs during his career,times at bat during his career,annual salary 1987
66,1,293,-1
835,69,3449,475
457,63,1624,480
1575,225,5628,500
101,12,396,91.5
1133,19,4408,750
42,1,214,70
108,0,509,100
86,6,341,75
1332,253,5206,1100
1300,90,4631,517.143
467,15,1876,512.5
392,41,1512,550
510,4,1941,700
825,36,3231,240
42,3,201,-1
2273,177,8068,775
102,5,479,175
1478,100,5233,-1
180,24,727,135
92,16,413,100
109,3,426,115
26,2,84,-1
489,67,1924,600
2464,164,8424,776.667
747,17,2695,765
491,13,1931,708.333
604,61,2331,750
633,32,2308,625
1382,166,5201,900
1833,224,6890,-1
149,8,591,110
994,215,3571,-1
452,44,1646,612.5
308,27,1309,300
1906,146,6207,850
244,3,1053,-1
78,5,350,90
1615,235,5913,-1
61,1,241,-1
50,4,232,67.5
1926,46,7318,-1
684,46,2516,-1
160,32,694,180
1069,64,4183,-1
236,21,999,305
273,24,932,215
192,32,756,247.5
2130,235,7099,-1
715,77,2648,815
1767,281,6521,875
59,2,226,70
13,1,41,-1
1307,113,4478,1200
1429,166,5150,675
231,29,950,415
333,49,1335,340
1029,35,3926,-1
968,35,3742,416.667
927,133,3210,1350
113,24,416,90
1634,98,6631,275
270,1,1115,230
210,9,926,225
28,0,159,-1
1982,315,7546,950
163,16,773,-1
120,8,514,75
205,22,815,105
1231,32,4484,-1
2198,100,8247,320
53,12,244,-1
1397,221,5347,850
1947,347,7761,535
1785,291,6661,933.333
1046,32,3651,850
353,16,1258,210
338,25,1313,-1
555,80,2174,325
290,11,1064,275
1575,442,6677,-1
1661,154,6311,450
737,93,2223,1975
324,44,1325,-1
1388,266,5017,1900
948,145,3828,600
2024,247,6727,1041.667
113,25,428,110
1338,181,5409,260
298,28,1350,475
405,28,1457,431.5
471,108,1810,1220
78,7,317,70
164,28,592,145
565,32,2079,-1
594,41,2133,595
2083,305,7287,1861.46
1647,60,5952,-1
184,45,711,300
544,38,2130,490
1679,275,5624,2460
260,14,972,-1
336,7,1350,375
571,86,2303,-1
1632,241,5589,-1
244,36,994,-1
139,31,646,-1
1583,131,6100,750
610,92,2129,1175
51,4,215,70
2095,209,6675,1500
351,71,1506,385
1646,271,6063,1925.571
260,53,985,215
1925,348,7023,-1
728,107,2862,900
187,14,793,155
1910,259,6840,700
866,59,3573,535
568,16,2140,362.5
1972,231,6986,733.333
2172,384,8716,200
369,12,1469,400
376,42,1516,400
1578,44,5562,737.5
1051,268,4677,-1
453,73,1649,500
900,92,3118,600
636,58,2358,662.5
1077,140,3754,950
822,55,2954,750
299,40,1185,297.5
2081,190,7186,325
129,1,618,87.5
151,16,639,175
125,7,524,90
634,128,2325,1237.5
1193,70,4338,430
361,6,1407,-1
103,2,440,100
173,38,696,165
404,57,1447,250
1213,194,4405,1300
2147,153,7472,773.333
916,23,3859,-1
671,97,2641,1008.333
543,56,2128,275
715,27,2482,775
1066,40,3871,850
1130,97,4040,365
408,25,1568,-1
68,9,288,95
86,4,278,110
808,81,2964,100
730,97,2744,277.5
167,4,670,80
1330,57,4618,600
238,2,876,-1
1610,128,5779,-1
377,65,1437,200
286,23,1188,-1
880,32,3053,657
44,2,196,75
2163,351,7127,2412.5
979,33,3910,250
151,24,630,155
541,52,2020,640
325,30,1354,300
108,6,450,110
209,10,702,-1
1397,83,5590,825
59,13,233,-1
218,6,948,195
179,21,707,-1
890,74,3327,450
462,40,1689,630
58,6,181,86.5
750,126,2723,1300
1839,121,6126,1000
1840,128,6090,1800
815,117,2816,1310
1062,85,3919,737.5
470,65,1789,625
94,12,342,125
880,83,3082,1043.333
970,20,3423,725
214,64,911,300
587,35,1928,365
64,0,279,75
844,116,3006,1183.333
187,9,667,202.5
1222,94,4479,225
1240,84,4291,525
191,30,805,265
928,102,3558,787.5
1123,212,4273,800
1552,210,5829,587.5
34,0,166,-1
185,36,682,145
915,41,3148,-1
1320,93,4704,420
54,2,216,75
476,12,1696,575
228,23,853,-1
549,62,2051,780
58,12,216,90
230,14,969,150
1000,113,3400,700
209,14,884,-1
398,47,1416,550
715,28,2543,-1
698,55,2815,650
54,3,209,68
76,3,344,100
516,90,1928,670
259,54,1085,175
170,17,638,137
9,2,41,2127.333
519,26,1968,875
116,14,498,120
160,8,580,140
232,19,822,210
834,40,3015,800
408,16,1644,240
323,54,1258,350
326,55,1367,-1
271,3,1038,175
249,36,978,200
1257,37,4992,-1
1169,13,4739,1940
359,61,1493,700
470,38,1556,750
1543,104,5885,450
135,30,540,172
1203,79,4139,1260
602,75,2235,-1
4256,160,14053,750
329,24,1257,190
566,29,1966,580
82,0,354,130
1358,48,4933,450
344,43,1394,300
665,43,2796,250
1845,312,7058,1050
142,44,652,215
939,78,3949,400
583,69,2131,-1
658,50,2331,560
1182,103,4071,1670
2510,548,9528,487.5
6,0,33,-1
408,115,1770,425
1102,67,3967,500
44,7,186,-1
656,18,2421,-1
234,12,912,250
1323,56,5134,400
614,43,2288,450
895,39,3368,750
68,2,312,70
882,36,3358,875
49,3,239,190
238,16,961,191
902,74,3146,740
267,3,1089,250
170,17,653,140
101,16,382,97.5
1369,155,5348,740
149,7,549,140
667,38,2682,341.667
87,4,312,-1
2019,153,7037,1000
412,100,1750,100
80,5,290,90
185,22,730,200
160,24,680,135
210,21,831,155
426,11,1619,475
2583,271,8759,1450
148,1,711,150
123,8,507,105
403,12,1716,350
872,19,3070,90
4,0,28,-1
841,61,3181,530
657,48,2658,341.667
686,133,2765,940
448,15,1518,350
493,9,1897,326.667
220,9,888,250
770,27,2364,740
339,32,1337,425
1954,195,7402,-1
874,16,3162,925
227,22,927,185
4,1,19,920
219,12,854,286.667
256,42,1136,245
238,9,937,-1
1145,83,4061,235
821,63,2872,1150
357,7,1399,160
2732,379,9778,-1
397,17,1546,425
1150,57,4086,900
1028,48,3372,-1
2402,242,8396,500
355,31,1359,277.5
771,110,3031,750
309,1,1236,160
753,69,2728,1300
566,41,2268,525
506,6,1775,550
978,32,2778,1600
117,11,408,120
172,22,593,165
283,15,1063,-1
806,32,2703,700
1511,39,5511,875
433,7,1700,385
857,97,3198,960
1457,30,4908,1000
