hits during his career,home runs during his career
66,1
835,69
457,63
1575,225
101,12
1133,19
42,1
108,0
86,6
1332,253
1300,90
467,15
392,41
510,4
825,36
42,3
2273,177
102,5
1478,100
180,24
92,16
109,3
26,2
489,67
2464,164
747,17
491,13
604,61
633,32
1382,166
1833,224
149,8
994,215
452,44
308,27
1906,146
244,3
78,5
1615,235
61,1
50,4
1926,46
684,46
160,32
1069,64
236,21
273,24
192,32
2130,235
715,77
1767,281
59,2
13,1
1307,113
1429,166
231,29
333,49
1029,35
968,35
927,133
113,24
1634,98
270,1
210,9
28,0
1982,315
163,16
120,8
205,22
1231,32
2198,100
53,12
1397,221
1947,347
1785,291
1046,32
353,16
338,25
555,80
290,11
1575,442
1661,154
737,93
324,44
1388,266
948,145
2024,247
113,25
1338,181
298,28
405,28
471,108
78,7
164,28
565,32
594,41
2083,305
1647,60
184,45
544,38
1679,275
260,14
336,7
571,86
1632,241
244,36
139,31
1583,131
610,92
51,4
2095,209
351,71
1646,271
260,53
1925,348
728,107
187,14
1910,259
866,59
568,16
1972,231
2172,384
369,12
376,42
1578,44
1051,268
453,73
900,92
636,58
1077,140
822,55
299,40
2081,190
129,1
151,16
125,7
634,128
1193,70
361,6
103,2
173,38
404,57
1213,194
2147,153
916,23
671,97
543,56
715,27
1066,40
1130,97
408,25
68,9
86,4
808,81
730,97
167,4
1330,57
238,2
1610,128
377,65
286,23
880,32
44,2
2163,351
979,33
151,24
541,52
325,30
108,6
209,10
1397,83
59,13
218,6
179,21
890,74
462,40
58,6
750,126
1839,121
1840,128
815,117
1062,85
470,65
94,12
880,83
970,20
214,64
587,35
64,0
844,116
187,9
1222,94
1240,84
191,30
928,102
1123,212
1552,210
34,0
185,36
915,41
1320,93
54,2
476,12
228,23
549,62
58,12
230,14
1000,113
209,14
398,47
715,28
698,55
54,3
76,3
516,90
259,54
170,17
9,2
519,26
116,14
160,8
232,19
834,40
408,16
323,54
326,55
271,3
249,36
1257,37
1169,13
359,61
470,38
1543,104
135,30
1203,79
602,75
4256,160
329,24
566,29
82,0
1358,48
344,43
665,43
1845,312
142,44
939,78
583,69
658,50
1182,103
2510,548
6,0
408,115
1102,67
44,7
656,18
234,12
1323,56
614,43
895,39
68,2
882,36
49,3
238,16
902,74
267,3
170,17
101,16
1369,155
149,7
667,38
87,4
2019,153
412,100
80,5
185,22
160,24
210,21
426,11
2583,271
148,1
123,8
403,12
872,19
4,0
841,61
657,48
686,133
448,15
493,9
220,9
770,27
339,32
1954,195
874,16
227,22
4,1
219,12
256,42
238,9
1145,83
821,63
357,7
2732,379
397,17
1150,57
1028,48
2402,242
355,31
771,110
309,1
753,69
566,41
506,6
978,32
117,11
172,22
283,15
806,32
1511,39
433,7
857,97
1457,30
